Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SCCO,Southern Copper Corporation Common Stock,$64.64,-0.18,-0.278%,49971973228.00,United States,,1258872,Basic Industries,Precious Metals
SEE,Sealed Air Corporation Common Stock,$65.80,-0.50,-0.754%,9748712176.00,United States,,1076400,Basic Industries,Containers/Packaging
SHW,Sherwin-Williams Company (The) Common Stock,$294.26,-4.26,-1.427%,77153852635.00,United States,,2904039,Basic Industries,Paints/Coatings
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$25.85,-0.20,-0.768%,3987616450.00,Mexico,1993,2979,Basic Industries,Aluminum
SKY,Skyline Champion Corporation Common Stock,$62.11,-0.99,-1.569%,3527811914.00,United States,,565312,Basic Industries,Homebuilding
SMG,Scotts Miracle-Gro Company (The) Common Stock,$153.57,0.49,0.32%,8446992076.00,United States,1992,325931,Basic Industries,Agricultural Chemicals
SON,Sonoco Products Company Common Stock,$56.90,-0.68,-1.181%,5594766925.00,United States,,511669,Basic Industries,Containers/Packaging
STLD,Steel Dynamics Inc.,$54.12,-0.58,-1.06%,10740180351.00,United States,1996,5962308,Basic Industries,Steel/Iron Ore
SXT,Sensient Technologies Corporation Common Stock,$87.16,-1.43,-1.614%,3663015184.00,United States,,250933,Basic Industries,Major Chemicals
TROX,Tronox Holdings plc Ordinary Shares (UK),$23.04,0.42,1.857%,3545098929.00,United States,,968346,Basic Industries,Multi-Sector Companies
UFPI,UFP Industries Inc. Common Stock,$80.82,-2.06,-2.486%,5001769571.00,United States,1993,292351,Basic Industries,Forest Products
UNVR,Univar Solutions Inc. Common Stock,$26.98,-0.20,-0.736%,4612440419.00,United States,2015,827862,Basic Industries,Specialty Chemicals
VVV,Valvoline Inc. Common Stock,$33.43,-0.34,-1.007%,6016738621.00,United States,2016,1910172,Basic Industries,Automotive Aftermarket
WDFC,WD-40 Company Common Stock,$228.85,-5.75,-2.451%,3132353938.00,United States,1973,73859,Basic Industries,Industrial Specialties
WIRE,Encore Wire Corporation Common Stock,$110.69,-3.56,-3.116%,2242138411.00,United States,1992,160015,Basic Industries,Metal Fabrications
WLK,Westlake Chemical Corporation Common Stock,$98.84,0.32,0.325%,12633922922.00,United States,2004,642505,Basic Industries,Major Chemicals
X,United States Steel Corporation Common Stock,$18.98,-0.44,-2.266%,5129017842.00,United States,,24406804,Basic Industries,Steel/Iron Ore
