Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MMC,Marsh & McLennan Companies Inc. Common Stock,$156.65,-1.31,-0.829%,79091859241.00,United States,,2904781,Finance,Specialty Insurers
MS,Morgan Stanley Common Stock,$99.04,0.96,0.979%,175498880000.00,United States,,16014317,Finance,Investment Bankers/Brokers/Service
MTB,M&T Bank Corporation Common Stock,$164.59,-2.04,-1.224%,21180192883.00,United States,,1493319,Finance,Major Banks
NDAQ,Nasdaq Inc. Common Stock,$174.98,-1.35,-0.766%,29260506435.00,United States,,1401089,Finance,Investment Bankers/Brokers/Service
NTRS,Northern Trust Corporation Common Stock,$115.40,-0.92,-0.791%,23964107904.00,United States,,1165263,Finance,Trusts Except Educational Religious and Charitable
PFG,Principal Financial Group Inc Common Stock,$72.62,0.46,0.637%,19249341426.00,United States,2001,1476533,Finance,Specialty Insurers
PGR,Progressive Corporation (The) Common Stock,$109.30,-0.58,-0.528%,63874920000.00,United States,,3371249,Finance,Property-Casualty Insurers
PNC,PNC Financial Services Group Inc. (The) Common Stock,$204.20,0.09,0.044%,85764000000.00,United States,,1696447,Finance,Major Banks
PRU,Prudential Financial Inc. Common Stock,$110.90,1.46,1.334%,41920200000.00,United States,2001,2227445,Finance,Life Insurance
RF,Regions Financial Corporation Common Stock,$23.22,0.25,1.088%,22135222506.00,United States,,16191128,Finance,Major Banks
RJF,Raymond James Financial Inc. Common Stock,$96.81,-0.83,-0.85%,20117087505.00,United States,,1583260,Finance,Investment Bankers/Brokers/Service
SBNY,Signature Bank Common Stock,$310.31,-3.86,-1.229%,18814841906.00,United States,2004,1112355,Finance,Major Banks
SCHW,Charles Schwab Corporation (The) Common Stock,$88.53,-0.18,-0.203%,167374813574.00,United States,,9108818,Finance,Investment Bankers/Brokers/Service
SIVB,SVB Financial Group Common Stock,$554.82,-15.19,-2.665%,32560938829.00,United States,,669017,Finance,Major Banks
SOFI,SoFi Technologies Inc. Common Stock  ,$12.76,-0.54,-4.06%,10350193905.00,United States,,71603819,Finance,Diversified Financial Services
STT,State Street Corporation Common Stock,$94.13,0.33,0.352%,34449962847.00,United States,,2843234,Finance,Investment Managers
SYF,Synchrony Financial Common Stock,$46.10,1.17,2.604%,25228648060.00,United States,2014,8304240,Finance,Diversified Financial Services
TFC,Truist Financial Corporation Common Stock,$63.03,0.73,1.172%,83692368540.00,United States,,7976324,Finance,Major Banks
TROW,T. Rowe Price Group Inc. Common Stock,$157.65,-1.67,-1.048%,36133132805.00,United States,1986,1597124,Finance,Investment Managers
TRV,The Travelers Companies Inc. Common Stock,$168.60,-0.23,-0.136%,41477064628.00,United States,,2209444,Finance,Property-Casualty Insurers
TW,Tradeweb Markets Inc. Class A Common Stock,$89.02,-0.56,-0.625%,17987642830.00,United States,2019,1660407,Finance,Investment Bankers/Brokers/Service
USB,U.S. Bancorp Common Stock,$57.41,0.60,1.056%,85196440000.00,United States,,8461168,Finance,Major Banks
WAL,Western Alliance Bancorporation Common Stock (DE),$110.63,-0.35,-0.315%,11527831084.00,United States,2005,738341,Finance,Major Banks
WFC,Wells Fargo & Company Common Stock,$53.59,0.27,0.506%,208240102224.00,United States,,40783010,Finance,Major Banks
WRB,W.R. Berkley Corporation Common Stock,$82.47,-0.89,-1.068%,14567537004.00,United States,,1009530,Finance,Property-Casualty Insurers
ZION,Zions Bancorporation N.A. Common Stock,$66.48,3.71,5.91%,10401691020.00,United States,,3825664,Finance,Major Banks
