Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TDG,Transdigm Group Incorporated Common Stock,$614.60,-6.67,-1.074%,33955974555.00,United States,2006,312217,Capital Goods,Military/Government/Technical
TDY,Teledyne Technologies Incorporated Common Stock,$405.23,-11.78,-2.825%,18906076970.00,United States,,358111,Capital Goods,Industrial Machinery/Components
TER,Teradyne Inc. Common Stock,$138.29,-9.15,-6.206%,22541870179.00,United States,,2197483,Capital Goods,Electrical Products
TMO,Thermo Fisher Scientific Inc Common Stock,$567.75,-8.05,-1.398%,223720801394.00,United States,,1800710,Capital Goods,Biotechnology: Laboratory Analytical Instruments
TRMB,Trimble Inc. Common Stock,$70.37,-2.15,-2.965%,17663460334.00,United States,1990,1986002,Capital Goods,Industrial Machinery/Components
TSLA,Tesla Inc. Common Stock,$918.40,-11.60,-1.247%,922316840077.00,United States,2010,28226325,Capital Goods,Auto Manufacturing
TWLO,Twilio Inc. Class A Common Stock,$185.84,-11.66,-5.904%,33140622519.00,United States,2016,3020592,Capital Goods,Industrial Machinery/Components
TXT,Textron Inc. Common Stock,$71.23,-0.66,-0.918%,15700888207.00,United States,,1307574,Capital Goods,Aerospace
WAB,Westinghouse Air Brake Technologies Corporation Common Stock,$89.16,-1.35,-1.492%,16656961519.00,United States,,965858,Capital Goods,Railroads
WSO,Watsco Inc. Common Stock,$278.90,-8.56,-2.978%,10813777428.00,United States,,159444,Capital Goods,Wholesale Distributors
XYL,Xylem Inc. Common Stock New,$103.87,-3.72,-3.458%,18730386003.00,United States,2011,1636277,Capital Goods,Fluid Controls
