Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MSI,Motorola Solutions Inc. Common Stock,$234.04,-5.47,-2.284%,39528768092.00,United States,,968952,Technology,Radio And Television Broadcasting And Communications Equipment
MU,Micron Technology Inc. Common Stock,$80.72,-2.23,-2.688%,90388408319.00,United States,,21870741,Technology,Semiconductors
NET,Cloudflare Inc. Class A Common Stock,$84.78,-8.50,-9.112%,27277590188.00,United States,2019,7409756,Technology,EDP Services
NLOK,NortonLifeLock Inc. Common Stock,$25.50,-0.63,-2.411%,14834752985.00,United States,,4125537,Technology,Computer Software: Prepackaged Software
NOW,ServiceNow Inc. Common Stock,$495.08,-30.76,-5.85%,98520920000.00,United States,2012,2803319,Technology,Computer Software: Prepackaged Software
NTAP,NetApp Inc. Common Stock,$85.72,-0.80,-0.925%,19053647959.00,United States,1995,2206702,Technology,Electronic Components
NUAN,Nuance Communications Inc. Common Stock,$54.79,-0.26,-0.472%,17468765557.00,United States,,5737156,Technology,Computer Software: Prepackaged Software
NVDA,NVIDIA Corporation Common Stock,$223.24,-10.48,-4.484%,558100000000.00,United States,1999,65136767,Technology,Semiconductors
OKTA,Okta Inc. Class A Common Stock,$177.66,-13.24,-6.936%,27633912752.00,United States,2017,3490433,Technology,EDP Services
OMC,Omnicom Group Inc. Common Stock,$75.48,-0.13,-0.172%,16043917241.00,United States,,1617072,Technology,Advertising
ON,ON Semiconductor Corporation Common Stock,$53.32,-2.02,-3.65%,22972050538.00,United States,,8245077,Technology,Semiconductors
ORCL,Oracle Corporation Common Stock,$81.07,-1.35,-1.638%,216493138290.00,United States,1986,13051099,Technology,Computer Software: Prepackaged Software
PANW,Palo Alto Networks Inc. Common Stock,$475.47,-28.74,-5.70%,46912913683.00,United States,,1864343,Technology,EDP Services
PCTY,Paylocity Holding Corporation Common Stock,$185.68,-12.41,-6.265%,10217284869.00,United States,2014,435379,Technology,Computer Software: Prepackaged Software
PTC,PTC Inc. Common Stock,$114.63,-2.97,-2.526%,13511656241.00,United States,,862338,Technology,Computer Software: Prepackaged Software
QCOM,QUALCOMM Incorporated Common Stock,$165.45,-4.62,-2.717%,185304000000.00,United States,1991,10604729,Technology,Computer peripheral equipment
RHI,Robert Half International Inc. Common Stock,$110.00,0.12,0.109%,12246322440.00,United States,,1391514,Technology,Diversified Commercial Services
ROL,Rollins Inc. Common Stock,$31.26,-0.64,-2.006%,15381441893.00,United States,,3327988,Technology,Industrial Specialties
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,$144.92,-4.40,-2.947%,80827385163.00,United States,2017,8610677,Technology,Computer Software: Prepackaged Software
SLF,Sun Life Financial Inc. Common Stock,$55.38,0.20,0.362%,32454437761.00,Canada,,955798,Technology,Advertising
SNAP,Snap Inc. Class A Common Stock,$30.66,-1.14,-3.585%,49356391534.00,United States,2017,26564806,Technology,Internet and Information Services
SNOW,Snowflake Inc. Class A Common Stock,$263.43,-14.07,-5.07%,80688609000.00,United States,2020,4616883,Technology,Computer Software: Prepackaged Software
SNPS,Synopsys Inc. Common Stock,$291.66,-16.68,-5.41%,44751825078.00,United States,1992,912080,Technology,EDP Services
SPGI,S&P Global Inc. Common Stock,$399.53,-18.42,-4.407%,96286730000.00,United States,,2488294,Technology,Advertising
SPLK,Splunk Inc. Common Stock,$116.25,-5.04,-4.155%,18459009210.00,United States,2012,3378618,Technology,Computer Software: Prepackaged Software
SQ,Block Inc. Class A Common Stock,$115.30,-2.00,-1.705%,53185080946.00,United States,2015,16865461,Technology,Computer Software: Prepackaged Software
SSNC,SS&C Technologies Holdings Inc. Common Stock,$77.18,-1.73,-2.192%,19624509050.00,United States,2010,1658853,Technology,EDP Services
SWKS,Skyworks Solutions Inc. Common Stock,$139.81,-4.03,-2.802%,23122791842.00,United States,,1949027,Technology,Semiconductors
TRU,TransUnion Common Stock,$99.59,-3.09,-3.009%,19081444000.00,United States,2015,1628766,Technology,Advertising
TTD,The Trade Desk Inc. Class A Common Stock,$62.67,-2.66,-4.072%,30121292170.00,United States,2016,9252403,Technology,EDP Services
